Filename_MOD11A1_LST_Day, filename_MOD11A1_LST_Night,No_GoodQuality, No_Total, GoodQ_Rate
MOD11A1_2013146.LST_Day_1km.tif, MOD11A1_2013146.QC_Day.tif, 250469, 396600, 0.631541
MOD11A1_2013146.LST_Night_1km.tif, MOD11A1_2013146.QC_Night.tif, 176710, 396600, 0.445562
MOD11A1_2013147.LST_Day_1km.tif, MOD11A1_2013147.QC_Day.tif, 75065, 396600, 0.189271
MOD11A1_2013147.LST_Night_1km.tif, MOD11A1_2013147.QC_Night.tif, 78956, 396600, 0.199082
MOD11A1_2013148.LST_Day_1km.tif, MOD11A1_2013148.QC_Day.tif, 207256, 396600, 0.522582
MOD11A1_2013148.LST_Night_1km.tif, MOD11A1_2013148.QC_Night.tif, 290365, 396600, 0.732136
MOD11A1_2013149.LST_Day_1km.tif, MOD11A1_2013149.QC_Day.tif, 213276, 396600, 0.537761
MOD11A1_2013149.LST_Night_1km.tif, MOD11A1_2013149.QC_Night.tif, 281503, 396600, 0.709791
MOD11A1_2013150.LST_Day_1km.tif, MOD11A1_2013150.QC_Day.tif, 197403, 396600, 0.497738
MOD11A1_2013150.LST_Night_1km.tif, MOD11A1_2013150.QC_Night.tif, 160606, 396600, 0.404957
MOD11A1_2013151.LST_Day_1km.tif, MOD11A1_2013151.QC_Day.tif, 309074, 396600, 0.779309
MOD11A1_2013151.LST_Night_1km.tif, MOD11A1_2013151.QC_Night.tif, 282218, 396600, 0.711594
MOD11A1_2013152.LST_Day_1km.tif, MOD11A1_2013152.QC_Day.tif, 364125, 396600, 0.918116
MOD11A1_2013152.LST_Night_1km.tif, MOD11A1_2013152.QC_Night.tif, 285824, 396600, 0.720686
MOD11A1_2013153.LST_Day_1km.tif, MOD11A1_2013153.QC_Day.tif, 283048, 396600, 0.713686
MOD11A1_2013153.LST_Night_1km.tif, MOD11A1_2013153.QC_Night.tif, 366501, 396600, 0.924107
MOD11A1_2013154.LST_Day_1km.tif, MOD11A1_2013154.QC_Day.tif, 285052, 396600, 0.718739
MOD11A1_2013154.LST_Night_1km.tif, MOD11A1_2013154.QC_Night.tif, 217159, 396600, 0.547552
MOD11A1_2013155.LST_Day_1km.tif, MOD11A1_2013155.QC_Day.tif, 133421, 396600, 0.336412
MOD11A1_2013155.LST_Night_1km.tif, MOD11A1_2013155.QC_Night.tif, 301102, 396600, 0.759208
MOD11A1_2013156.LST_Day_1km.tif, MOD11A1_2013156.QC_Day.tif, 116552, 396600, 0.293878
MOD11A1_2013156.LST_Night_1km.tif, MOD11A1_2013156.QC_Night.tif, 334552, 396600, 0.843550
MOD11A1_2013157.LST_Day_1km.tif, MOD11A1_2013157.QC_Day.tif, 349391, 396600, 0.880966
MOD11A1_2013157.LST_Night_1km.tif, MOD11A1_2013157.QC_Night.tif, 281191, 396600, 0.709004
MOD11A1_2013158.LST_Day_1km.tif, MOD11A1_2013158.QC_Day.tif, 19385, 396600, 0.048878
MOD11A1_2013158.LST_Night_1km.tif, MOD11A1_2013158.QC_Night.tif, 9778, 396600, 0.024655
MOD11A1_2013159.LST_Day_1km.tif, MOD11A1_2013159.QC_Day.tif, 173093, 396600, 0.436442
MOD11A1_2013159.LST_Night_1km.tif, MOD11A1_2013159.QC_Night.tif, 11079, 396600, 0.027935
MOD11A1_2013160.LST_Day_1km.tif, MOD11A1_2013160.QC_Day.tif, 53510, 396600, 0.134922
MOD11A1_2013160.LST_Night_1km.tif, MOD11A1_2013160.QC_Night.tif, 368040, 396600, 0.927988
MOD11A1_2013161.LST_Day_1km.tif, MOD11A1_2013161.QC_Day.tif, 301395, 396600, 0.759947
MOD11A1_2013161.LST_Night_1km.tif, MOD11A1_2013161.QC_Night.tif, 394144, 396600, 0.993807
MOD11A1_2013162.LST_Day_1km.tif, MOD11A1_2013162.QC_Day.tif, 372673, 396600, 0.939670
MOD11A1_2013162.LST_Night_1km.tif, MOD11A1_2013162.QC_Night.tif, 248404, 396600, 0.626334
MOD11A1_2013163.LST_Day_1km.tif, MOD11A1_2013163.QC_Day.tif, 226951, 396600, 0.572242
MOD11A1_2013163.LST_Night_1km.tif, MOD11A1_2013163.QC_Night.tif, 172370, 396600, 0.434619
MOD11A1_2013164.LST_Day_1km.tif, MOD11A1_2013164.QC_Day.tif, 327520, 396600, 0.825819
MOD11A1_2013164.LST_Night_1km.tif, MOD11A1_2013164.QC_Night.tif, 212390, 396600, 0.535527
MOD11A1_2013165.LST_Day_1km.tif, MOD11A1_2013165.QC_Day.tif, 338527, 396600, 0.853573
MOD11A1_2013165.LST_Night_1km.tif, MOD11A1_2013165.QC_Night.tif, 67003, 396600, 0.168944
MOD11A1_2013166.LST_Day_1km.tif, MOD11A1_2013166.QC_Day.tif, 135, 396600, 0.000340
MOD11A1_2013166.LST_Night_1km.tif, MOD11A1_2013166.QC_Night.tif, 141712, 396600, 0.357317
MOD11A1_2013167.LST_Day_1km.tif, MOD11A1_2013167.QC_Day.tif, 97224, 396600, 0.245144
