month,high_density_up,high_density_mid,medium_density,sparse,bareland
1,-6.52,-2.155,-4.115,-3.92,-2.723
2,-6.85,-3.64,-5.455,-5.395,-3.833
3,-5.99,-4.52,-6.04,-6.935,-5.327
4,-6.94,-4.555,-6.205,-6.92,-5.55
5,-6.13,-4.345,-6.075,-6.78,-5.223
6,-4.79,-3.41,-5.895,-5.14,-4.617
7,-5.39,-2.29,-5.82,-5.155,-3.34
8,-5.7,-1.83,-5.9,-5.32,-2.867
9,-5.33,-3.155,-5.4,-6.63,-4.24
10,-6,-3.68,-5.125,-5.63,-4.513
11,-6.76,-2.63,-5.305,-4.98,-3.187
12,-6.63,-1.615,-4.35,-5.605,-2.517
